"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61548","Payment verification for https://storagedepotla.com/storage-units/louisiana/ponchatoula/west-pine-street","chrome","Fri Jun 20 03:45:14 BDT 2025","passed","Fri Jun 20 03:46:16 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","74883","Payment verification for https://reverent-moore.staging.storagely-api.com/storage-boss/storage-units/louisiana/ponchatoula/west-pine-street","chrome","Tue Jun 17 17:36:35 BDT 2025","passed","Tue Jun 17 17:37:50 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","67181","Payment verification for https://reverent-moore.staging.storagely-api.com/red-rocks-self-storage/storage-units/colorado/aurora/east-14th-avenue","chrome","Tue Jun 17 17:41:17 BDT 2025","passed","Tue Jun 17 17:42:24 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","67384","Payment verification for https://app.storagely.io/first-storage/storage-units/north-carolina/fayetteville/raeford-road","chrome","Fri Jun 20 03:47:25 BDT 2025","passed","Fri Jun 20 03:48:32 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","13514","Verify offer content Smart Self Storage : SSM","chrome","Fri Jun 20 03:42:51 BDT 2025","passed","Fri Jun 20 03:43:05 BDT 2025","Verify page discount from storage unit","discountBanner-verification.spec.ts","",""
"","1","Payment verification for https://test.staging.storagely-api.com/bluebirdstorage/storage-units/alberta/calgary/mayland","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","47831","Payment verification for https://test.staging.storagely-api.com/storage-boss/storage-units/louisiana/ponchatoula/west-pine-street","chrome","Fri Jun 20 00:03:28 BDT 2025","passed","Fri Jun 20 00:04:15 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","65115","Payment verification for https://app.storagely.io/mini-mall-storage/storage-units/arkansas/batesville/batesville-blvd","chrome","Sat Jun 14 16:14:20 BDT 2025","passed","Sat Jun 14 16:15:26 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","0","Payment verification for https://test.staging.storagely-api.com/storage-star/storage-units/colorado/colorado-springs/aerotech-drive","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","8611","Verify landing page for https://redrocksstorage.com/","chrome","Fri Jun 20 03:43:50 BDT 2025","passed","Fri Jun 20 03:43:59 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","7525","Verify landing page for https://rhino-storage.com/","chrome","Fri Jun 20 03:43:51 BDT 2025","passed","Fri Jun 20 03:43:58 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","86670","Payment verification for https://test.staging.storagely-api.com/mini-mall-storage/storage-units/arkansas/batesville/batesville-blvd","chrome","Sat Jun 14 03:49:15 BDT 2025","passed","Sat Jun 14 03:50:42 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","6680","Verify landing page for https://radiantstorage.com/","chrome","Fri Jun 20 03:43:43 BDT 2025","passed","Fri Jun 20 03:43:50 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","77047","Payment verification for https://reverent-moore.staging.storagely-api.com/allpurposestorage/storage-units/maine/belgrade/manchester-road","chrome","Tue Jun 17 17:40:33 BDT 2025","passed","Tue Jun 17 17:41:50 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","1","Payment verification for https://test.staging.storagely-api.com/gatekeeper-self-storage/storage-units/georgia/peachtree-city/senoia-road","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","10728","Payment verification for https://test.staging.storagely-api.com/rhino-storage/storage-units/louisiana/covington/philip-drive","chrome","Fri Jun 20 00:06:32 BDT 2025","passed","Fri Jun 20 00:06:43 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","11107","Payment verification for https://rhino-storage.com/storage-units/louisiana/covington/philip-drive","chrome","Fri Jun 20 03:48:42 BDT 2025","passed","Fri Jun 20 03:48:53 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","70186","Payment verification for https://test.staging.storagely-api.com/distinct-storage/storage-units/connecticut/new-milford/kent-road","chrome","Fri Jun 20 00:02:17 BDT 2025","passed","Fri Jun 20 00:03:27 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","15934","Verify landing page for https://bluebirdstorage.ca/","chrome","Fri Jun 20 03:43:19 BDT 2025","passed","Fri Jun 20 03:43:35 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","75208","Payment verification for https://reverent-moore.staging.storagely-api.com/10-federal-storage/storage-units/texas/arlington/avenue-f","chrome","Tue Jun 17 17:35:36 BDT 2025","passed","Tue Jun 17 17:36:52 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","7320","Verify landing page for https://storagedepotla.com/","chrome","Fri Jun 20 03:43:58 BDT 2025","passed","Fri Jun 20 03:44:05 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","90933","Payment verification for https://10federalstorage.com/storage-units/texas/arlington/avenue-f","chrome","Fri Jun 20 03:43:58 BDT 2025","passed","Fri Jun 20 03:45:29 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","6698","Verify landing page for https://gatekeeperstoragega.com/","chrome","Fri Jun 20 03:43:21 BDT 2025","passed","Fri Jun 20 03:43:27 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","65076","Payment verification for https://www.storagestar.com/storage-units/colorado/colorado-springs/aerotech-drive","chrome","Fri Jun 20 03:45:15 BDT 2025","passed","Fri Jun 20 03:46:20 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","40798","Admin Login Test","chrome","Fri Jun 20 03:42:51 BDT 2025","failed","Fri Jun 20 03:43:32 BDT 2025","","admin-login.spec.ts","",""
"","5500","Verify landing page for https://sunbirdstorage.com/","chrome","Fri Jun 20 03:43:15 BDT 2025","passed","Fri Jun 20 03:43:21 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","63480","Payment verification for https://test.staging.storagely-api.com/first-storage/storage-units/north-carolina/fayetteville/raeford-road","chrome","Fri Jun 20 00:05:35 BDT 2025","passed","Fri Jun 20 00:06:38 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","16004","Verify landing page for https://10federalstorage.com/","chrome","Fri Jun 20 03:43:27 BDT 2025","passed","Fri Jun 20 03:43:43 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","82887","Payment verification for https://reverent-moore.staging.storagely-api.com/sunbirdstorage/storage-units/nc/winston-salem/country-club","chrome","Tue Jun 17 17:39:38 BDT 2025","passed","Tue Jun 17 17:41:01 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","13093","Verify offer content Demo Account : StorEDGE","chrome","Fri Jun 20 03:42:51 BDT 2025","passed","Fri Jun 20 03:43:04 BDT 2025","Verify page discount from storage unit","discountBanner-verification.spec.ts","",""
"","68791","Payment verification for https://gatekeeperstoragega.com/storage-units/georgia/peachtree-city/senoia-road","chrome","Fri Jun 20 03:44:05 BDT 2025","passed","Fri Jun 20 03:45:14 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","56472","Payment verification for https://test.staging.storagely-api.com/red-rocks-self-storage/storage-units/colorado/aurora/east-14th-avenue","chrome","Fri Jun 20 00:06:55 BDT 2025","passed","Fri Jun 20 00:07:52 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","81179","Payment verification for https://reverent-moore.staging.storagely-api.com/first-storage/storage-units/north-carolina/fayetteville/raeford-road","chrome","Tue Jun 17 17:39:12 BDT 2025","passed","Tue Jun 17 17:40:33 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","62639","Payment verification for https://radiantstorage.com/storage-units/alabama/tuscaloosa/8th-avenue","chrome","Fri Jun 20 03:46:56 BDT 2025","passed","Fri Jun 20 03:47:59 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","67386","Payment verification for https://sunbirdstorage.com/storage-units/nc/winston-salem/country-club","chrome","Fri Jun 20 03:47:35 BDT 2025","passed","Fri Jun 20 03:48:42 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","82395","Payment verification for https://reverent-moore.staging.storagely-api.com/mini-mall-storage/storage-units/mini-mall/training/ltrain","chrome","Tue Jun 17 17:37:50 BDT 2025","passed","Tue Jun 17 17:39:12 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","79183","Payment verification for https://test.staging.storagely-api.com/mini-mall-storage/storage-units/mini-mall/training/ltrain","chrome","Fri Jun 20 00:04:16 BDT 2025","passed","Fri Jun 20 00:05:35 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","1","Payment verification for https://test.staging.storagely-api.com/distinct-storage/storage-units/connecticut/new-milford/kent-road","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","81405","Payment verification for https://reverent-moore.staging.storagely-api.com/radiant-storage/storage-units/alabama/tuscaloosa/8th-avenue","chrome","Tue Jun 17 17:38:32 BDT 2025","passed","Tue Jun 17 17:39:53 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","0","Payment verification for https://test.staging.storagely-api.com/storage-boss/storage-units/louisiana/ponchatoula/west-pine-street","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","61770","Payment verification for https://test.staging.storagely-api.com/radiant-storage/storage-units/alabama/tuscaloosa/8th-avenue","chrome","Fri Jun 20 00:04:54 BDT 2025","passed","Fri Jun 20 00:05:56 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","83281","Payment verification for https://reverent-moore.staging.storagely-api.com/premier-storage/storage-units/mississippi/laurel/ms-15","chrome","Tue Jun 17 17:39:53 BDT 2025","passed","Tue Jun 17 17:41:17 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","50482","Payment verification for https://reverent-moore.staging.storagely-api.com/gatekeeper-self-storage/storage-units/georgia/peachtree-city/senoia-road","chrome","Tue Jun 17 17:35:44 BDT 2025","passed","Tue Jun 17 17:36:35 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","86755","Payment verification for https://www.bestboxstorage.com/storage-units/florida/pensacola/north-palafox","chrome","Fri Jun 20 03:45:29 BDT 2025","passed","Fri Jun 20 03:46:56 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","100325","Payment verification for https://reverent-moore.staging.storagely-api.com/bestbox-storage/storage-units/florida/pensacola/north-palafox","chrome","Tue Jun 17 17:36:52 BDT 2025","passed","Tue Jun 17 17:38:32 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","1","Debug discount elements structure","chrome","Fri Jun 20 03:43:05 BDT 2025","skipped","Fri Jun 20 03:43:05 BDT 2025","Debug Discount Elements","discountBanner-verification.spec.ts","",""
"","90813","Payment verification for https://test.staging.storagely-api.com/10-federal-storage/storage-units/texas/arlington/avenue-f","chrome","Fri Jun 20 00:02:08 BDT 2025","passed","Fri Jun 20 00:03:39 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","65558","Payment verification for https://test.staging.storagely-api.com/bluebirdstorage/storage-units/alberta/calgary/mayland","chrome","Fri Jun 20 00:04:26 BDT 2025","passed","Fri Jun 20 00:05:31 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","8780","Verify landing page for https://www.storeallpurpose.com/","chrome","Fri Jun 20 03:43:35 BDT 2025","passed","Fri Jun 20 03:43:44 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","67284","Payment verification for https://yourpremierstorage.com/storage-units/mississippi/laurel/ms-15","chrome","Fri Jun 20 03:47:59 BDT 2025","passed","Fri Jun 20 03:49:06 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","74564","Payment verification for https://bluebirdstorage.ca/storage-units/alberta/calgary/mayland","chrome","Fri Jun 20 03:46:20 BDT 2025","passed","Fri Jun 20 03:47:35 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","58666","Payment verification for https://test.staging.storagely-api.com/storage-star/storage-units/colorado/colorado-springs/aerotech-drive","chrome","Fri Jun 20 00:03:27 BDT 2025","passed","Fri Jun 20 00:04:26 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","1","Payment verification for https://test.staging.storagely-api.com/red-rocks-self-storage/storage-units/colorado/aurora/east-14th-avenue","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","6453","Verify landing page for https://smartstorageohio.com/","chrome","Fri Jun 20 03:43:05 BDT 2025","passed","Fri Jun 20 03:43:11 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","1","Payment verification for https://test.staging.storagely-api.com/radiant-storage/storage-units/texas/galveston/church-street","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","65818","Payment verification for https://app.storagely.io/allpurposestorage/storage-units/maine/belgrade/manchester-road","chrome","Fri Jun 20 03:48:32 BDT 2025","passed","Fri Jun 20 03:49:38 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","0","Payment verification for https://test.staging.storagely-api.com/rhino-storage/storage-units/louisiana/covington/philip-drive","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","10561","Verify offer content Mini Mall : SiteLink","chrome","Fri Jun 20 03:43:05 BDT 2025","passed","Fri Jun 20 03:43:15 BDT 2025","Verify page discount from storage unit","discountBanner-verification.spec.ts","",""
"","7219","Verify landing page for https://yourpremierstorage.com/","chrome","Fri Jun 20 03:43:44 BDT 2025","passed","Fri Jun 20 03:43:51 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","73254","Payment verification for https://reverent-moore.staging.storagely-api.com/distinct-storage/storage-units/connecticut/new-milford/kent-road","chrome","Tue Jun 17 17:35:39 BDT 2025","passed","Tue Jun 17 17:36:52 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","7396","Verify landing page for https://storagestar.com/","chrome","Fri Jun 20 03:43:11 BDT 2025","passed","Fri Jun 20 03:43:19 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","1","Payment verification for https://test.staging.storagely-api.com/sunbirdstorage/storage-units/nc/winston-salem/country-club","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","7681","Verify landing page for https://www.bestboxstorage.com/","chrome","Fri Jun 20 03:43:43 BDT 2025","passed","Fri Jun 20 03:43:50 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","0","Payment verification for https://test.staging.storagely-api.com/premier-storage/storage-units/mississippi/laurel/ms-15","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","62643","Payment verification for https://test.staging.storagely-api.com/allpurposestorage/storage-units/maine/belgrade/manchester-road","chrome","Fri Jun 20 00:06:38 BDT 2025","passed","Fri Jun 20 00:07:41 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","69831","Payment verification for https://test.staging.storagely-api.com/gatekeeper-self-storage/storage-units/georgia/peachtree-city/senoia-road","chrome","Fri Jun 20 00:02:18 BDT 2025","passed","Fri Jun 20 00:03:28 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","76339","Payment verification for https://distinctstorage.com/storage-units/connecticut/new-milford/kent-road","chrome","Fri Jun 20 03:43:59 BDT 2025","passed","Fri Jun 20 03:45:15 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","80620","Payment verification for https://reverent-moore.staging.storagely-api.com/bluebirdstorage/storage-units/alberta/calgary/mayland","chrome","Tue Jun 17 17:38:18 BDT 2025","passed","Tue Jun 17 17:39:38 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","62291","Payment verification for https://redrocksstorage.com/storage-units/colorado/aurora/east-14th-avenue","chrome","Fri Jun 20 03:49:06 BDT 2025","passed","Fri Jun 20 03:50:08 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","1055","test","chrome","Fri Jun 20 02:25:23 BDT 2025","passed","Fri Jun 20 02:25:24 BDT 2025","","test-1.spec.ts","",""
"","60929","Payment verification for https://test.staging.storagely-api.com/sunbirdstorage/storage-units/nc/winston-salem/country-club","chrome","Fri Jun 20 00:05:31 BDT 2025","passed","Fri Jun 20 00:06:32 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","58871","Payment verification for https://test.staging.storagely-api.com/premier-storage/storage-units/mississippi/laurel/ms-15","chrome","Fri Jun 20 00:05:56 BDT 2025","passed","Fri Jun 20 00:06:55 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","0","Payment verification for https://test.staging.storagely-api.com/bestbox-storage/storage-units/florida/pensacola/north-palafox","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
