"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72628","Payment verification for https://radiantstorage.com/storage-units/alabama/montgomery/east-south-blvd","chrome","Tue Aug 26 23:19:58 BDT 2025","failed","Tue Aug 26 23:21:11 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","20371","Verify landing page for https://10federalstorage.com/","chrome","Tue Aug 26 23:16:58 BDT 2025","passed","Tue Aug 26 23:17:19 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","83929","Payment verification for https://app.storagely.io/first-storage/storage-units/north-carolina/fayetteville/raeford-road","chrome","Tue Aug 26 23:21:01 BDT 2025","passed","Tue Aug 26 23:22:25 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","21689","Debug discount elements structure","chrome","Tue Aug 26 23:23:45 BDT 2025","passed","Tue Aug 26 23:24:06 BDT 2025","Debug Discount Elements","storageLocationPage-verification.spec.ts","",""
"","82507","Payment verification for https://redrocksstorage.com/storage-units/colorado/aurora/east-14th-avenue","chrome","Tue Aug 26 23:16:48 BDT 2025","passed","Tue Aug 26 23:18:11 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","43407","Verify banner loading for Radiant Storage - Montgomery","chrome","Tue Aug 26 23:24:28 BDT 2025","passed","Tue Aug 26 23:25:12 BDT 2025","Verify Banner Loading on Storage Unit Pages","storageLocationPage-verification.spec.ts","",""
"","67040","Payment verification for https://rhino-storage.com/storage-units/louisiana/covington/philip-drive","chrome","Tue Aug 26 23:17:19 BDT 2025","passed","Tue Aug 26 23:18:26 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","7385","Verify landing page for https://radiantstorage.com/","chrome","Tue Aug 26 23:16:22 BDT 2025","passed","Tue Aug 26 23:16:30 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","1","Test 3: Multi-Page Navigation Stress Test","chrome","Tue Aug 26 23:14:55 BDT 2025","skipped","Tue Aug 26 23:14:55 BDT 2025","Admin Platform Navigation & Tenant Context Tests","adminPlatform-verification.spec.ts","",""
"","6437","Verify landing page for https://www.firststorage.com/","chrome","Tue Aug 26 23:16:00 BDT 2025","passed","Tue Aug 26 23:16:07 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","13055","Verify contact page for https://www.firststorage.com/","chrome","Tue Aug 26 23:14:56 BDT 2025","passed","Tue Aug 26 23:15:10 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","7185","Verify landing page for https://ulok.com","chrome","Tue Aug 26 23:16:37 BDT 2025","passed","Tue Aug 26 23:16:45 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","13811","Verify contact page for https://distinctstorage.com/","chrome","Tue Aug 26 23:14:57 BDT 2025","passed","Tue Aug 26 23:15:10 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","65584","Payment verification for https://storagedepotla.com/storage-units/louisiana/ponchatoula/west-pine-street","chrome","Tue Aug 26 23:19:55 BDT 2025","passed","Tue Aug 26 23:21:01 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","22051","Verify banner loading for Premier Storage - Laurel","chrome","Tue Aug 26 23:24:06 BDT 2025","passed","Tue Aug 26 23:24:28 BDT 2025","Verify Banner Loading on Storage Unit Pages","storageLocationPage-verification.spec.ts","",""
"","19938","Verify landing page for https://storagestar.com/","chrome","Tue Aug 26 23:16:01 BDT 2025","passed","Tue Aug 26 23:16:20 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","10221","Verify contact page for https://www.bestboxstorage.com/","chrome","Tue Aug 26 23:15:22 BDT 2025","passed","Tue Aug 26 23:15:32 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","44630","Verify banner loading for Best Box Storage - Pensacola","chrome","Tue Aug 26 23:24:26 BDT 2025","passed","Tue Aug 26 23:25:11 BDT 2025","Verify Banner Loading on Storage Unit Pages","storageLocationPage-verification.spec.ts","",""
"","9818","Verify contact page for https://redrocksstorage.com/","chrome","Tue Aug 26 23:15:52 BDT 2025","passed","Tue Aug 26 23:16:02 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","22330","Verify landing page for https://bluebirdstorage.ca/","chrome","Tue Aug 26 23:16:26 BDT 2025","passed","Tue Aug 26 23:16:49 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","8314","Verify contact page for https://sunbirdstorage.com/","chrome","Tue Aug 26 23:15:21 BDT 2025","passed","Tue Aug 26 23:15:29 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","22529","Verify banner loading for Store All Purpose - Jewett City","chrome","Tue Aug 26 23:25:11 BDT 2025","passed","Tue Aug 26 23:25:33 BDT 2025","Verify Banner Loading on Storage Unit Pages","storageLocationPage-verification.spec.ts","",""
"","104132","Payment verification for https://www.bestboxstorage.com/storage-units/florida/pensacola/north-palafox","chrome","Tue Aug 26 23:18:14 BDT 2025","passed","Tue Aug 26 23:19:58 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","8415","Verify landing page for https://yourpremierstorage.com/","chrome","Tue Aug 26 23:16:30 BDT 2025","passed","Tue Aug 26 23:16:38 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","10875","Verify contact page for https://storagedepotla.com/","chrome","Tue Aug 26 23:15:20 BDT 2025","passed","Tue Aug 26 23:15:30 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","9237","Verify contact page for https://rhino-storage.com/","chrome","Tue Aug 26 23:15:10 BDT 2025","passed","Tue Aug 26 23:15:20 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","9622","Verify landing page for https://gatekeeperstoragega.com/","chrome","Tue Aug 26 23:16:49 BDT 2025","passed","Tue Aug 26 23:16:58 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","78519","Payment verification for https://distinctstorage.com/storage-units/connecticut/new-milford/kent-road","chrome","Tue Aug 26 23:18:11 BDT 2025","passed","Tue Aug 26 23:19:29 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","5793","Verify landing page for https://sunbirdstorage.com/","chrome","Tue Aug 26 23:16:20 BDT 2025","passed","Tue Aug 26 23:16:26 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","7525","Verify landing page for https://modboxstorage.com/","chrome","Tue Aug 26 23:16:30 BDT 2025","passed","Tue Aug 26 23:16:37 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","76869","Payment verification for https://yourpremierstorage.com/storage-units/mississippi/magee/simpson-highway-149","chrome","Tue Aug 26 23:22:28 BDT 2025","passed","Tue Aug 26 23:23:44 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","118826","Payment verification for https://app.storagely.io/allpurposestorage/storage-units/maine/belgrade/manchester-road","chrome","Tue Aug 26 23:22:25 BDT 2025","failed","Tue Aug 26 23:24:24 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","9001","Verify contact page for https://yourpremierstorage.com/","chrome","Tue Aug 26 23:15:43 BDT 2025","passed","Tue Aug 26 23:15:52 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","9750","Verify landing page for https://redrocksstorage.com/","chrome","Tue Aug 26 23:16:38 BDT 2025","passed","Tue Aug 26 23:16:48 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","18664","Verify Offer Text First Storage : StorEDGE","chrome","Tue Aug 26 23:24:03 BDT 2025","passed","Tue Aug 26 23:24:21 BDT 2025","Verify Offer Text from Storage Unit","storageLocationPage-verification.spec.ts","",""
"","13184","Verify landing page for https://storagedepotla.com/","chrome","Tue Aug 26 23:16:17 BDT 2025","passed","Tue Aug 26 23:16:30 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","11611","Verify contact page for https://ulok.com","chrome","Tue Aug 26 23:15:39 BDT 2025","passed","Tue Aug 26 23:15:51 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","1","Should login successfully and verify dashboard elements","chrome","Tue Aug 26 23:14:55 BDT 2025","skipped","Tue Aug 26 23:14:55 BDT 2025","Admin Login Tests","admin-login.spec.ts","",""
"","8528","Verify contact page for https://modboxstorage.com/","chrome","Tue Aug 26 23:15:30 BDT 2025","passed","Tue Aug 26 23:15:39 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","7622","Verify landing page for https://rhino-storage.com/","chrome","Tue Aug 26 23:16:09 BDT 2025","passed","Tue Aug 26 23:16:17 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","0","Test 1: Tenant Context & Logo Preservation","chrome","Tue Aug 26 23:14:55 BDT 2025","skipped","Tue Aug 26 23:14:55 BDT 2025","Admin Platform Navigation & Tenant Context Tests","adminPlatform-verification.spec.ts","",""
"","69796","Payment verification for https://sunbirdstorage.com/storage-units/nc/winston-salem/country-club","chrome","Tue Aug 26 23:22:53 BDT 2025","passed","Tue Aug 26 23:24:03 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","7231","Verify landing page for https://distinctstorage.com/","chrome","Tue Aug 26 23:16:02 BDT 2025","passed","Tue Aug 26 23:16:09 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","14144","Verify contact page for https://10federalstorage.com/","chrome","Tue Aug 26 23:15:46 BDT 2025","passed","Tue Aug 26 23:16:00 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","12330","Verify contact page for https://www.storeallpurpose.com/","chrome","Tue Aug 26 23:15:10 BDT 2025","passed","Tue Aug 26 23:15:22 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","89721","Payment verification for https://10federalstorage.com/storage-units/georgia/dahlonega/highway-19-north","chrome","Tue Aug 26 23:16:45 BDT 2025","passed","Tue Aug 26 23:18:14 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","8399","Verify contact page for https://gatekeeperstoragega.com/","chrome","Tue Aug 26 23:15:38 BDT 2025","passed","Tue Aug 26 23:15:46 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","131414","Payment verification for https://bluebirdstorage.ca/storage-units/alberta/calgary/mayland","chrome","Tue Aug 26 23:20:42 BDT 2025","passed","Tue Aug 26 23:22:53 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","74125","Payment verification for https://ww2.radiantstorage.com/storage-units/texas/beaumont/college-street","chrome","Tue Aug 26 23:21:13 BDT 2025","passed","Tue Aug 26 23:22:28 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","33732","Verify Offer Text Smart Self Storage : SSM","chrome","Tue Aug 26 23:24:21 BDT 2025","passed","Tue Aug 26 23:24:55 BDT 2025","Verify Offer Text from Storage Unit","storageLocationPage-verification.spec.ts","",""
"","17559","Verify Offer Text Mini Mall : SiteLink","chrome","Tue Aug 26 23:24:55 BDT 2025","passed","Tue Aug 26 23:25:13 BDT 2025","Verify Offer Text from Storage Unit","storageLocationPage-verification.spec.ts","",""
"","9876","Verify landing page for https://smartstorageohio.com/","chrome","Tue Aug 26 23:15:51 BDT 2025","passed","Tue Aug 26 23:16:01 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","8933","Verify contact page for https://bluebirdstorage.ca/","chrome","Tue Aug 26 23:15:29 BDT 2025","passed","Tue Aug 26 23:15:38 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","72452","Payment verification for https://www.storagestar.com/storage-units/colorado/colorado-springs/aerotech-drive","chrome","Tue Aug 26 23:19:29 BDT 2025","passed","Tue Aug 26 23:20:42 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","7042","Verify landing page for https://www.bestboxstorage.com/","chrome","Tue Aug 26 23:16:15 BDT 2025","passed","Tue Aug 26 23:16:22 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","8536","Verify landing page for https://www.storeallpurpose.com/","chrome","Tue Aug 26 23:16:07 BDT 2025","passed","Tue Aug 26 23:16:15 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","1","Test 2: Rental System Submenu Behavior","chrome","Tue Aug 26 23:14:55 BDT 2025","skipped","Tue Aug 26 23:14:55 BDT 2025","Admin Platform Navigation & Tenant Context Tests","adminPlatform-verification.spec.ts","",""
"","12215","Verify contact page for https://storagestar.com/","chrome","Tue Aug 26 23:15:08 BDT 2025","passed","Tue Aug 26 23:15:20 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","11746","Verify contact page for https://smartstorageohio.com/","chrome","Tue Aug 26 23:14:57 BDT 2025","passed","Tue Aug 26 23:15:08 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
"","22612","Verify banner loading for Storage Star - Cloverdale","chrome","Tue Aug 26 23:25:12 BDT 2025","passed","Tue Aug 26 23:25:34 BDT 2025","Verify Banner Loading on Storage Unit Pages","storageLocationPage-verification.spec.ts","",""
"","24934","Verify banner loading for First Storage - E Market St","chrome","Tue Aug 26 23:25:33 BDT 2025","passed","Tue Aug 26 23:25:58 BDT 2025","Verify Banner Loading on Storage Unit Pages","storageLocationPage-verification.spec.ts","",""
"","89602","Payment verification for https://gatekeeperstoragega.com/storage-units/georgia/peachtree-city/senoia-road","chrome","Tue Aug 26 23:18:26 BDT 2025","passed","Tue Aug 26 23:19:55 BDT 2025","Payment Verification Tests","rentReservation-verification.spec.ts","",""
"","10715","Verify contact page for https://radiantstorage.com/","chrome","Tue Aug 26 23:15:32 BDT 2025","passed","Tue Aug 26 23:15:43 BDT 2025","Storage Site Contact Page Verification","contactPage-verification.spec.ts","",""
